"matchup_key","ev_tier","edge","vegas_line","model_line","bet_recommendation","confidence","sportsbook"
"TEN at IND","ğŸ”¥ ELITE",21.1413812004271,-25,-3.85861879957292,"BET IND -25.0 (-198)","Low","Market Average (Free Tier)"
"WAS at KC","ğŸ”¥ ELITE",16.2717673155197,-19.8,-3.52823268448031,"BET KC -19.8 (-181)","Low","Market Average (Free Tier)"
"TB at NO","ğŸ”¥ ELITE",-16.2256754227845,13.3,-2.92567542278452,"BET TB -7.7 (-181)","Very Low","Market Average (Free Tier)"
"GB at PIT","ğŸ”¥ ELITE",-13.2025580917814,8.9,-4.30255809178143,"BET GB -5.2 (-176)","Low","Market Average (Free Tier)"
"NYG at PHI","ğŸ”¥ ELITE",10.9300698471673,-12,-1.0699301528327,"BET PHI -12.0 (-203)","Very Low","Market Average (Free Tier)"
"MIA at ATL","ğŸ”¥ ELITE",10.0735790850498,-12,-1.92642091495018,"BET ATL -12.0 (-181)","Very Low","Market Average (Free Tier)"
"NYJ at CIN","ğŸ”¥ ELITE",6.64328365305352,-9.5,-2.85671634694648,"BET CIN -9.5 (-186)","Very Low","Market Average (Free Tier)"
"CLE at NE","ğŸ”¥ ELITE",6.29399217503254,-12,-5.70600782496746,"BET NE -12.0 (-181)","Low","Market Average (Free Tier)"
"DAL at DEN","â­ STRONG",4.81334545876685,-7.7,-2.88665454123315,"BET DEN -7.7 (-186)","Very Low","Market Average (Free Tier)"
"MIN at LAC","â­ STRONG",3.60044357789925,-6,-2.39955642210075,"BET LAC -6.0 (+172)","Very Low","Market Average (Free Tier)"
"SF at HOU","âŒ PASS",-0.22202614231266,-4.3,-4.52202614231266,"NO BET","Low","Market Average (Free Tier)"
"CHI at BAL","âŒ PASS",NA,-4.3,NA,"NO BET","Very Low","Market Average (Free Tier)"
"BUF at CAR","âŒ PASS",NA,12,NA,"NO BET","Very Low","Market Average (Free Tier)"
